,author,avgRating,bookid,genre1,genre2,isbn,lang,name,rating1,rating2,rating3,rating4,rating5,rating_count,url
713,Timothy Ferriss,3.77,7148931,Health,Nonfiction,9.78031E+12,English,"The 4-Hour Body: An Uncommon Guide to Rapid Fat-Loss, Incredible Sex, and Becoming Superhuman",630,1855,5893,8436,6112,22926,https://www.goodreads.com/book/show/7148931-the-4-hour-body
714,Frederick P. Brooks Jr.,3.74,7157080,Design,Computer Science,9.7802E+12,English,The Design of Design: Essays from a Computer Scientist,10,43,132,163,126,474,https://www.goodreads.com/book/show/7157080-the-design-of-design
715,Ghassan Kanafani,3.64,7268003,,,,Arabic,ما تبقى لكم,97,275,832,937,664,2805,https://www.goodreads.com/book/show/7268003
716,James M. Kilts,3.37,466878,Business,Nonfiction,9.78031E+12,,Doing What Matters: The Revolutionary Old-School Approach to Business Success and Why It Works,4,20,45,44,16,129,https://www.goodreads.com/book/show/466878.Doing_What_Matters
717,Jimmy Carter,3.8,9345,Nonfiction,Politics,9.78074E+12,English,Palestine: Peace Not Apartheid,84,184,800,1236,799,3103,https://www.goodreads.com/book/show/9345.Palestine
718,George Mair,3.67,1203883,,,9.78047E+12,English,The Barry Diller Story: The Life and Times of America's Greatest Entertainment Mogul,0,3,4,3,5,15,https://www.goodreads.com/book/show/1203883.The_Barry_Diller_Story
719,Jennifer Waldburger,4.06,474621,Nonfiction,Parenting,9.78076E+12,English,The Sleepeasy Solution: The Exhausted Parent's Guide to Getting Your Child to Sleep from Birth to Age 5,22,47,175,353,398,995,https://www.goodreads.com/book/show/474621.The_Sleepeasy_Solution
720,Sarah Ellison,3.51,7346787,Business,Nonfiction,9.78055E+12,English,War at the Wall Street Journal: Inside the Struggle To Control an American Business Empire,1,8,15,21,8,53,https://www.goodreads.com/book/show/7346787-war-at-the-wall-street-journal
721,Ellen Ullman,3.81,486625,Nonfiction,Science,9.78087E+12,English,Close to the Machine: Technophilia and Its Discontents,12,35,146,219,148,560,https://www.goodreads.com/book/show/486625.Close_to_the_Machine
722,Scott Patterson,3.83,7495395,Economics,Nonfiction,9.78031E+12,English,The Quants: How a New Breed of Math Whizzes Conquered Wall Street and Nearly Destroyed It,140,419,1666,2467,1827,6519,https://www.goodreads.com/book/show/7495395-the-quants
723,Gary Shteyngart,3.52,210817,Fiction,Cultural,9.78157E+12,English,The Russian Debutante's Handbook,219,698,1948,2336,1020,6221,https://www.goodreads.com/book/show/210817.The_Russian_Debutante_s_Handbook
724,Alexander Osterwalder,4.16,7542136,Business,Business,9.78284E+12,English,Business Model Generation,554,1113,4332,8455,12675,27129,https://www.goodreads.com/book/show/7542136-business-model-generation
725,Hannu Rajaniemi,3.84,7562764,Science Fiction,Fiction,9.78058E+12,English,The Quantum Thief (Jean le Flambeur #1),445,1057,3448,6192,4352,15494,https://www.goodreads.com/book/show/7562764-the-quantum-thief
726,Clay Shirky,3.81,7614793,Nonfiction,Science,9.78159E+12,English,Cognitive Surplus: Creativity and Generosity in a Connected Age,141,308,1246,1746,1351,4792,https://www.goodreads.com/book/show/7614793-cognitive-surplus
727,Ben Macintyre,3.95,7632329,History,Nonfiction,9.78075E+12,English,Operation Mincemeat: How a Dead Man and a Bizarre Plan Fooled the Nazis and Assured an Allied Victory,203,487,2362,4733,3402,11187,https://www.goodreads.com/book/show/7632329-operation-mincemeat
728,Tony S. Daniel,3.95,7648967,Sequential Art,Dc Comics,9.7814E+12,English,"Batman: Life After Death (Batman, Volume I #692–699)",42,136,506,473,810,1967,https://www.goodreads.com/book/show/7648967-batman
729,Youngme Moon,3.97,7655974,Business,Nonfiction,9.78031E+12,,Different: Escaping the Competitive Herd,15,61,246,471,377,1170,https://www.goodreads.com/book/show/7655974-different
730,Barry Schwartz,3.84,10639,Nonfiction,Business,9.78006E+12,English,The Paradox of Choice: Why More Is Less,519,1439,5981,8673,6705,23317,https://www.goodreads.com/book/show/10639.The_Paradox_of_Choice
731,Caryl Férey,3.81,7723884,Mystery,Fiction,9.78193E+12,English,Zulu,17,47,170,282,180,696,https://www.goodreads.com/book/show/7723884-zulu
732,Gabe Zichermann,3.52,7830553,,,9.78047E+12,English,"Game-Based Marketing: Inspire Customer Loyalty Through Rewards, Challenges, and Contests",4,27,59,63,35,188,https://www.goodreads.com/book/show/7830553-game-based-marketing
733,Irene Kendig,4.07,7935434,,,9.78098E+12,English,Conversations with Jerry and Other People I Thought Were Dead: Seven Compelling Dialogues That Will Transform the Way You Think about Dying . . . and,0,2,7,6,13,28,https://www.goodreads.com/book/show/7935434-conversations-with-jerry-and-other-people-i-thought-were-dead
734,Kevin Kelly,3.69,7954936,Science,Nonfiction,9.78067E+12,,What Technology Wants,382,547,1289,1751,1769,5738,https://www.goodreads.com/book/show/7954936-what-technology-wants
735,Susan Casey,3.98,7997104,Nonfiction,Science,9.78077E+12,English,"The Wave: In Pursuit of the Rogues, Freaks, and Giants of the Ocean",59,385,1678,3232,2438,7792,https://www.goodreads.com/book/show/7997104-the-wave
736,Kim Harrison,4.45,8138071,Fantasy,Fantasy,9.78006E+12,English,Pale Demon (The Hollows #9),171,419,3663,12792,23066,40111,https://www.goodreads.com/book/show/8138071-pale-demon
737,G. Richard Shell,3.94,23801,Business,Nonfiction,9.78014E+12,English,Bargaining for Advantage: Negotiation Strategies for Reasonable People,106,234,963,1312,1515,4130,https://www.goodreads.com/book/show/23801.Bargaining_for_Advantage
738,Noah Feldman,4.09,8316125,History,Law,9.78045E+12,English,Scorpions: The Battles and Triumphs of FDR's Great Supreme Court Justices,11,47,204,520,447,1229,https://www.goodreads.com/book/show/8316125-scorpions
739,Susan Cain,4.05,8520610,,,9.78031E+12,English,Quiet: The Power of Introverts in a World That Can't Stop Talking,5426,10810,42832,89845,91658,240571,https://www.goodreads.com/book/show/8520610-quiet
740,Susan Cain,4.05,17793936,,,,English,Quiet: The Power of Introverts in a World That Can't Stop Talking,5426,10810,42835,89850,91658,240579,https://www.goodreads.com/book/show/17793936-quiet
741,John Brookshire Thompson,3.79,8677247,Nonfiction,Writing,9.78075E+12,English,Merchants of Culture: The Publishing Business in the Twenty-First Century,2,31,140,235,103,511,https://www.goodreads.com/book/show/8677247-merchants-of-culture
742,Michelle Moran,3.95,8689913,Historical,Historical,9.78031E+12,English,Madame Tussaud: A Novel of the French Revolution,289,853,3696,7181,5380,17399,https://www.goodreads.com/book/show/8689913-madame-tussaud
743,Peter S. Beagle,4.19,8879516,Fantasy,Short Stories,9.78162E+12,English,Sleight of Hand,4,17,52,161,174,408,https://www.goodreads.com/book/show/8879516-sleight-of-hand
744,Lisa Gansky,3.62,8882247,Business,Nonfiction,9.78159E+12,English,The Mesh: Why the Future of Business Is Sharing,22,101,293,304,210,930,https://www.goodreads.com/book/show/8882247-the-mesh
745,Ben Mezrich,3.87,514313,Nonfiction,Biography,9.78074E+12,English,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,163,903,5312,9069,5044,20491,https://www.goodreads.com/book/show/514313.Bringing_Down_the_House
746,Sheri S. Tepper,4.04,104342,Science Fiction,Fantasy,9.78186E+12,English,Grass (Arbai #1),136,370,1672,3273,3183,8634,https://www.goodreads.com/book/show/104342.Grass
747,Gary Vaynerchuk,3.84,9203287,Business,Nonfiction,9.78006E+12,English,The Thank You Economy,333,665,2152,2847,3053,9050,https://www.goodreads.com/book/show/9203287-the-thank-you-economy
748,Konstantin Stanislavski,4.05,94675,Plays,Nonfiction,9.78088E+12,English,An Actor Prepares (The Acting Books #1),31,113,571,1010,1040,2765,https://www.goodreads.com/book/show/94675.An_Actor_Prepares
749,Zack O'Malley Greenburg,3.63,13585766,Biography,Business,9.78159E+12,English,Empire State of Mind: How Jay-Z Went from Street Corner to Corner Office,21,70,283,280,180,834,https://www.goodreads.com/book/show/13585766-empire-state-of-mind
750,Michael   Lewis,3.89,9534444,Nonfiction,Economics,9.78039E+12,English,Boomerang: Travels in the New Third World,895,1728,7973,14433,10092,35121,https://www.goodreads.com/book/show/9534444-boomerang
751,Jeffrey Archer,4.05,10872085,,,9.78031E+12,English,Only Time Will Tell (The Clifton Chronicles #1),735,2054,10737,25628,20244,59398,https://www.goodreads.com/book/show/10872085-only-time-will-tell
752,Peter Guber,3.82,9724238,Business,Nonfiction,9.78031E+12,English,"Tell to Win: Connect, Persuade, and Triumph with the Hidden Power of Story",39,114,311,385,431,1280,https://www.goodreads.com/book/show/9724238-tell-to-win
753,Martin E.P. Seligman,3.83,9744812,Psychology,Nonfiction,9.78144E+12,English,Flourish: A Visionary New Understanding of Happiness and Well-Being,80,253,964,1305,1096,3698,https://www.goodreads.com/book/show/9744812-flourish
754,Jim Ottaviani,3.89,9844623,Sequential Art,Biography,9.7816E+12,English,Feynman,57,198,953,1722,1083,4013,https://www.goodreads.com/book/show/9844623-feynman
755,Jim Butcher,4.02,47212,Fantasy,Fantasy,9.78045E+12,English,Storm Front (The Dresden Files #1),3585,10568,48989,85592,85305,234039,https://www.goodreads.com/book/show/47212.Storm_Front
756,Guy Kawasaki,3.76,9895917,Business,Nonfiction,9.78159E+12,English,"Enchantment: The Art of Changing Hearts, Minds, and Actions",327,735,2246,2805,2574,8687,https://www.goodreads.com/book/show/9895917-enchantment
757,Kyle Banker,4.02,9926516,Computer Science,Computer Science,9.78194E+12,Italian,MongoDB in Action,0,2,26,69,32,129,https://www.goodreads.com/book/show/9926516-mongodb-in-action
758,Lois McMaster Bujold,4.16,61886,Fantasy,Fiction,9.78001E+12,English,The Curse of Chalion (World of the Five Gods (Publication) #1),337,892,4022,9571,10941,25763,https://www.goodreads.com/book/show/61886.The_Curse_of_Chalion
759,Dylan Horrocks,3.89,1137635,Sequential Art,Sequential Art,9.78097E+12,,Hicksville,27,125,381,543,542,1618,https://www.goodreads.com/book/show/1137635.Hicksville
760,Amor Towles,4.01,10054335,Fiction,Historical,9.78067E+12,English,Rules of Civility,1163,4307,19511,41892,32555,99428,https://www.goodreads.com/book/show/10054335-rules-of-civility
761,Eric Ries,4.05,10127019,Business,Nonfiction,9.78031E+12,English,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,3947,5488,20246,40819,49119,119619,https://www.goodreads.com/book/show/10127019-the-lean-startup
762,T. Colin Campbell,4.22,178788,Food and Drink,Health,9.78193E+12,English,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted and the Startling Implications for Diet, Weight Loss, and Long-term Health",346,754,2857,6475,9760,20192,https://www.goodreads.com/book/show/178788.The_China_Study
763,Kevin D. Mitnick,3.96,10256723,Nonfiction,Biography,9.78032E+12,English,Ghost in the Wires: My Adventures as the World's Most Wanted Hacker,416,828,3244,6384,5464,16336,https://www.goodreads.com/book/show/10256723-ghost-in-the-wires
764,Steven Pressfield,3.64,10265805,Fiction,Thriller,9.78039E+12,English,The Profession,28,101,322,389,227,1067,https://www.goodreads.com/book/show/10265805-the-profession
765,Marisha Pessl,3.79,10281556,Mystery,Fiction,,English,Night Film,1955,4997,14043,22092,17037,60124,https://www.goodreads.com/book/show/10281556-night-film
766,Candice Millard,4.2,10335318,History,Nonfiction,9.78039E+12,English,"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President",1020,1209,5086,15254,18596,41165,https://www.goodreads.com/book/show/10335318-destiny-of-the-republic
767,Jim  Benson,3.79,10419045,Nonfiction,Business,9.78145E+12,English,Personal Kanban: Mapping Work Navigating Life,28,82,392,598,339,1439,https://www.goodreads.com/book/show/10419045-personal-kanban
768,William  Gibson,4.06,22333,,,9.78189E+12,English,A Mass for the Dead,0,4,9,14,20,47,https://www.goodreads.com/book/show/22333.A_Mass_for_the_Dead
769,Stephen King,4.3,10644930,Fiction,Historical,9.78145E+12,English,11/22/1963,3197,8235,38204,117851,161741,329228,https://www.goodreads.com/book/show/10644930-11-22-63
770,Blake Mycoskie,4.03,10723236,Nonfiction,Business,9.7814E+12,English,Start Something That Matters,173,372,1442,2768,2949,7704,https://www.goodreads.com/book/show/10723236-start-something-that-matters
771,Claire Legrand,3.86,10893214,Childrens,Fantasy,9.78144E+12,English,The Cavendish Home for Boys and Girls,79,240,827,1237,1071,3454,https://www.goodreads.com/book/show/10893214-the-cavendish-home-for-boys-and-girls
772,Jakob Nielsen,3.79,22149,Design,Design,9.78156E+12,English,Designing Web Usability,21,71,268,418,257,1035,https://www.goodreads.com/book/show/22149.Designing_Web_Usability
773,Anthony Horowitz,3.95,11093329,Fiction,Mystery,9.78032E+12,English,The House of Silk (Sherlock Holmes #1),578,1366,6745,13616,9722,32027,https://www.goodreads.com/book/show/11093329-the-house-of-silk
774,Steven Pinker,4.2,13543093,Nonfiction,History,9.78014E+12,English,The Better Angels of Our Nature: Why Violence Has Declined,352,601,2025,4859,7402,15239,https://www.goodreads.com/book/show/13543093-the-better-angels-of-our-nature
775,Randy Leffingwell,4.1,20926,,,9.78076E+12,English,Muscle: America's Legendary Performance Cars,0,0,3,3,4,10,https://www.goodreads.com/book/show/20926.Muscle
776,James O'Shea,3.67,11223441,Nonfiction,Business,9.78159E+12,English,The Deal from Hell: How Moguls and Wall Street Plundered Great American Newspapers,0,5,31,28,15,79,https://www.goodreads.com/book/show/11223441-the-deal-from-hell
777,Carol Ann Rinzler,3.7,1903880,Health,Health,9.78076E+12,English,Nutrition for Dummies,7,29,112,121,84,353,https://www.goodreads.com/book/show/1903880.Nutrition_for_Dummies
778,R.J. Palacio,4.45,11387515,Young Adult,Fiction,9.78038E+12,English,Wonder (Wonder #1),5318,9370,42371,134619,297417,489095,https://www.goodreads.com/book/show/11387515-wonder
779,David Kadavy,3.75,11457105,Design,Nonfiction,9.78112E+12,English,Design for Hackers: Reverse Engineering Beauty,15,62,185,285,174,721,https://www.goodreads.com/book/show/11457105-design-for-hackers
780,Daniel Kahneman,4.1,11468377,Psychology,Nonfiction,9.78037E+12,English,"Thinking, Fast and Slow",4239,7892,29273,57940,76072,175416,https://www.goodreads.com/book/show/11468377-thinking-fast-and-slow
781,Arthur Conan Doyle,3.92,8649,Fiction,Adventure,9.78081E+12,English,The Lost World (Professor Challenger #1),396,2098,12448,18124,14089,47155,https://www.goodreads.com/book/show/8649.The_Lost_World
782,Jay Fields,4.1,3892685,Computer Science,Computer Science,9.78032E+12,English,Refactoring: Ruby Edition (Addison-Wesley Professional Ruby Series),1,8,31,72,68,180,https://www.goodreads.com/book/show/3892685-refactoring
783,Kim Stanley Robinson,3.43,11830394,Science Fiction,Fiction,9.78032E+12,English,2312,741,1766,3999,4310,2313,13129,https://www.goodreads.com/book/show/11830394-2312
784,Paul Arden,3.75,114737,Nonfiction,Self Help,9.78071E+12,English,"It's Not How Good You Are, It's How Good You Want To Be",244,849,2616,3320,2629,9658,https://www.goodreads.com/book/show/114737.It_s_Not_How_Good_You_Are_It_s_How_Good_You_Want_To_Be
785,Olivia Fox Cabane,3.94,11910905,Nonfiction,Psychology,9.78159E+12,English,The Charisma Myth: How Anyone Can Master the Art and Science of Personal Magnetism,117,435,1756,2902,2535,7745,https://www.goodreads.com/book/show/11910905-the-charisma-myth
786,Matthew Pearl,3.49,11936279,Historical,Mystery,9.7814E+12,English,The Technologists,129,321,1042,1171,476,3139,https://www.goodreads.com/book/show/11936279-the-technologists
787,Reid Hoffman,3.85,12030438,Business,Nonfiction,,English,"The Start-Up of You: Adapt to the Future, Invest in Yourself, and Transform Your Career",113,375,1575,2269,1770,6102,https://www.goodreads.com/book/show/12030438-the-start-up-of-you
788,E.L. Doctorow,3.88,175675,Fiction,Historical,9.78081E+12,English,Ragtime,619,1823,7777,12834,9311,32364,https://www.goodreads.com/book/show/175675.Ragtime
789,Sandra Aamodt,3.82,12796483,Psychology,Neuroscience,9.78161E+12,English,Welcome to Your Child's Brain: How the Mind Grows from Conception to College,6,38,155,248,141,588,https://www.goodreads.com/book/show/12796483-welcome-to-your-child-s-brain
790,Chester L. Karrass,3.61,1591959,,,9.78089E+12,English,The Negotiating Game: How to Get What You Want,2,3,21,26,9,61,https://www.goodreads.com/book/show/1591959.The_Negotiating_Game
791,Esther Perel,4.08,27485,Nonfiction,Psychology,9.78006E+12,English,Mating in Captivity: Reconciling the Erotic and the Domestic,86,283,1159,2545,2492,6565,https://www.goodreads.com/book/show/27485.Mating_in_Captivity
792,Robert A. Heinlein,4.17,16690,Science Fiction,Fiction,9.78034E+12,English,The Moon is a Harsh Mistress,924,3066,15287,31904,39690,90871,https://www.goodreads.com/book/show/16690.The_Moon_is_a_Harsh_Mistress
793,Jojo Moyes,4.27,17557750,Romance,Fiction,,English,Me Before You (Me Before You #1),11685,24735,102149,274092,404991,817652,https://www.goodreads.com/book/show/17557750-me-before-you
794,Bill Clinton,3.7,12727969,Politics,Nonfiction,9.78031E+12,English,Back to Work: Why We Need Smart Government for a Strong Economy,99,213,858,1166,679,3015,https://www.goodreads.com/book/show/12727969-back-to-work
795,Chip Conley,3.99,612532,Business,Nonfiction,9.78079E+12,English,Peak: How Great Companies Get Their Mojo from Maslow,34,65,251,428,470,1248,https://www.goodreads.com/book/show/612532.Peak
796,Raymond Chandler,4.22,2054,Mystery,Fiction,9.78039E+12,English,The Long Goodbye (Philip Marlowe #6),134,565,3992,10468,11462,26621,https://www.goodreads.com/book/show/2054.The_Long_Goodbye
797,Alan Furst,3.6,18881101,Historical,Fiction,,English,Mission to Paris (Night Soldiers #12),146,583,2097,2382,1155,6363,https://www.goodreads.com/book/show/18881101-mission-to-paris
798,Hugh McGuire,3.92,12983631,Nonfiction,Science,,English,Book: A Futurist's Manifesto,0,3,17,38,17,75,https://www.goodreads.com/book/show/12983631-book
799,Robert A. Caro,4.39,13009546,Biography,History,,English,The Passage of Power: The Years of Lyndon Johnson (The Years of Lyndon Johnson #4),259,337,1045,2815,6949,11405,https://www.goodreads.com/book/show/13009546-the-passage-of-power
800,David F. Swensen,3.95,17372,Economics,Business,9.78074E+12,English,Unconventional Success: A Fundamental Approach to Personal Investment,10,47,197,274,283,811,https://www.goodreads.com/book/show/17372.Unconventional_Success
801,Paul Rand,4.17,613547,Design,Nonfiction,9.7803E+12,English,"Design, Form, and Chaos",0,5,29,62,67,163,https://www.goodreads.com/book/show/613547.Design_Form_and_Chaos
802,Phil Stutz,3.68,13152847,Self Help,Nonfiction,9.78031E+12,English,"The Tools: Transform Your Problems into Courage, Confidence, and Creativity",93,240,589,719,619,2260,https://www.goodreads.com/book/show/13152847-the-tools
803,Jeffrey Brown,4.14,13163846,Sequential Art,Sequential Art,9.78145E+12,English,Darth Vader and Son (Star Wars: Darth Vader and Kids),276,604,2775,5340,7122,16117,https://www.goodreads.com/book/show/13163846-darth-vader-and-son
804,Peter H. Diamandis,4.11,13187824,Nonfiction,Science,9.78145E+12,English,Abundance: The Future Is Better Than You Think,87,281,1288,2792,2943,7391,https://www.goodreads.com/book/show/13187824-abundance
805,Susan Scott,3.99,15017,Self Help,Psychology,9.78043E+12,,Fierce Conversations: Achieving Success at Work and in Life One Conversation at a Time,51,145,670,1172,1077,3115,https://www.goodreads.com/book/show/15017.Fierce_Conversations
806,Tom Reiss,3.98,13330922,History,Nonfiction,9.78031E+12,English,"The Black Count: Glory, Revolution, Betrayal, and the Real Count of Monte Cristo",245,480,2070,4535,3601,10931,https://www.goodreads.com/book/show/13330922-the-black-count
807,Peter F. Hamilton,4.24,45252,Science Fiction,Space,9.78035E+12,English,Pandora's Star (Commonwealth Saga #1),417,1068,4365,12590,15958,34398,https://www.goodreads.com/book/show/45252.Pandora_s_Star
808,Walter Isaacson,4.08,10884,Biography,Nonfiction,9.78074E+12,English,Einstein: His Life and Universe,2547,3357,13551,29248,34872,83575,https://www.goodreads.com/book/show/10884.Einstein
809,Chris Anderson,3.9,13414742,Science,Business,9.78077E+12,English,Makers: The New Industrial Revolution,59,164,809,1242,997,3271,https://www.goodreads.com/book/show/13414742-makers
810,Clayton M. Christensen,4.06,13425570,Nonfiction,Business,9.78006E+12,English,How Will You Measure Your Life?,261,734,3001,5523,6222,15741,https://www.goodreads.com/book/show/13425570-how-will-you-measure-your-life
811,Candice Millard,4.16,78508,History,Nonfiction,9.78077E+12,English,The River of Doubt: Theodore Roosevelt's Darkest Journey,684,1206,5763,14473,16333,38459,https://www.goodreads.com/book/show/78508.The_River_of_Doubt
812,Dan Cederholm,4.12,13528,Design,Design,9.78032E+12,English,Bulletproof Web Design: Improving flexibility and protecting against worst-case scenarios with XHTML and CSS,5,25,165,313,332,840,https://www.goodreads.com/book/show/13528.Bulletproof_Web_Design
813,Tim LaHaye,3.82,27523,Christian,Christian Fiction,9.78084E+12,English,Left Behind (Left Behind #1),13311,13869,32840,45946,69360,175326,https://www.goodreads.com/book/show/27523.Left_Behind
814,Sean Ferrell,3.14,13531802,Science Fiction,Fantasy,9.78162E+12,English,Man in the Empty Suit,177,498,791,595,292,2353,https://www.goodreads.com/book/show/13531802-man-in-the-empty-suit
815,Charlaine Harris,3.85,13543159,Fantasy,Fantasy,9.78043E+12,English,An Apple for the Creature (Kate Daniels #5.3 - Magic Tests),86,318,1998,2580,1881,6863,https://www.goodreads.com/book/show/13543159-an-apple-for-the-creature
816,Brian K. Vaughan,4.23,15704307,Sequential Art,Sequential Art,9.78161E+12,English,"Saga, Vol. 1 (Saga #1)",7087,6293,17940,45044,89723,166087,https://www.goodreads.com/book/show/15704307-saga-vol-1
817,Thor Muller,4,13549531,Business,Nonfiction,9.78112E+12,English,Get Lucky: How to Put Planned Serendipity to Work For You and Your Business,0,6,12,27,24,69,https://www.goodreads.com/book/show/13549531-get-lucky
818,Joseph Campbell,4.23,588138,Fantasy,Philosophy,9.78069E+12,English,The Hero With a Thousand Faces,287,839,3320,7509,11272,23227,https://www.goodreads.com/book/show/588138.The_Hero_With_a_Thousand_Faces
819,Brené Brown,4.24,13588356,Nonfiction,Self Help,9.78159E+12,English,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",1074,2203,8771,21859,32562,66469,https://www.goodreads.com/book/show/13588356-daring-greatly
820,Nate Silver,3.97,13588394,Nonfiction,Science,9.78159E+12,English,The Signal and the Noise: Why So Many Predictions Fail - But Some Don't,452,1475,6967,14447,10281,33622,https://www.goodreads.com/book/show/13588394-the-signal-and-the-noise
821,Dave Eggers,3.29,13722902,Fiction,Contemporary,9.78194E+12,English,A Hologram for the King,787,3612,9646,7792,2226,24063,https://www.goodreads.com/book/show/13722902-a-hologram-for-the-king
822,Harvard Business School Press,4.41,14335237,Business,Leadership,9.78142E+12,English,HBR's Must Reads Boxed Set (6 Books) (HBR's 10 Must Reads),1,2,23,71,119,216,https://www.goodreads.com/book/show/14335237-hbr-s-must-reads-boxed-set-6-books
823,Sam Walton,4.1,10631,Business,Biography,9.78055E+12,English,Sam Walton: Made In America,271,490,2067,4070,5101,11999,https://www.goodreads.com/book/show/10631.Sam_Walton
824,Max Barry,3.9,16158596,Fiction,Science Fiction,9.78159E+12,English,Lexicon,351,1310,5873,11386,6984,25904,https://www.goodreads.com/book/show/16158596-lexicon
825,Terry Hayes,4.24,18144124,Fiction,Thriller,9.78144E+12,English,I Am Pilgrim (Pilgrim #1),2155,3167,9504,25519,41995,82340,https://www.goodreads.com/book/show/18144124-i-am-pilgrim
826,Dandi Daley Mackall,3.91,14843814,,,9.78076E+12,English,There's a Baby In There!,0,4,14,21,17,56,https://www.goodreads.com/book/show/14843814-there-s-a-baby-in-there
827,Bob                    Harris,4.05,15793509,Nonfiction,Travel,9.7808E+12,English,The International Bank of Bob: Connecting Our Worlds One $25 Kiva Loan at a Time,7,33,183,403,317,943,https://www.goodreads.com/book/show/15793509-the-international-bank-of-bob
828,Chimamanda Ngozi Adichie,4.28,15796700,Fiction,Cultural,9.78031E+12,English,Americanah,1876,3973,18425,58183,75643,158100,https://www.goodreads.com/book/show/15796700-americanah
829,David McCullough,4.05,2203,History,Biography,9.78074E+12,English,John Adams,12874,11714,33673,76311,108856,243428,https://www.goodreads.com/book/show/2203.John_Adams
830,Jonah Berger,3.9,15801967,Business,Nonfiction,9.78145E+12,English,Contagious: Why Things Catch On,273,774,3481,5589,4419,14536,https://www.goodreads.com/book/show/15801967-contagious
831,Jason  Matthews,4.03,15803037,Fiction,Thriller,9.78148E+12,English,Red Sparrow (Red Sparrow Trilogy #1),420,1013,3724,8386,7544,21087,https://www.goodreads.com/book/show/15803037-red-sparrow
832,William Knoedelseder,3.97,13622134,Nonfiction,History,9.78006E+12,English,Bitter Brew: The Rise and Fall of Anheuser-Busch and America's Kings of Beer,25,82,545,1288,706,2646,https://www.goodreads.com/book/show/13622134-bitter-brew
833,Liu Cixin,4.19,31675326,Science Fiction,Fiction,9.78077E+12,English,Ball Lightning,3,4,17,33,55,112,https://www.goodreads.com/book/show/31675326-ball-lightning
834,Fred Turner,3.97,5592,Nonfiction,History,9.78023E+12,English,"From Counterculture to Cyberculture: Stewart Brand, the Whole Earth Network, and the Rise of Digital Utopianism",5,20,74,135,118,352,https://www.goodreads.com/book/show/5592.From_Counterculture_to_Cyberculture
835,Stephen Budiansky,3.88,15849559,History,Nonfiction,9.78031E+12,,Blackett's War: The Men Who Defeated the Nazi U-Boats and Brought Science to the Art of Warfare,7,10,91,168,89,365,https://www.goodreads.com/book/show/15849559-blackett-s-war
836,Tana French,3.84,20821043,Mystery,Fiction,9.78067E+12,English,The Secret Place (Dublin Murder Squad #5),791,2608,10523,18774,11064,43760,https://www.goodreads.com/book/show/20821043-the-secret-place
837,Matthew Wolpe,3.48,15894541,Nonfiction,How To,9.7816E+12,English,Reinventing the Chicken Coop: 14 Original Designs with Step-by-Step Building Instructions,2,5,38,30,10,85,https://www.goodreads.com/book/show/15894541-reinventing-the-chicken-coop
838,Kevin Smokler,3.47,15897036,Nonfiction,Writing,9.78162E+12,English,Practical Classics: 50 Reasons to Reread 50 Books You Haven't Touched Since High School,31,41,106,101,86,365,https://www.goodreads.com/book/show/15897036-practical-classics
839,Salman Khan,4.31,13529069,Education,Nonfiction,9.78146E+12,English,The One World Schoolhouse: A New Approach to Teaching and Learning,16,65,362,1046,1466,2955,https://www.goodreads.com/book/show/13529069-the-one-world-schoolhouse
840,Peter Westwick,4.08,16041810,History,Nonfiction,9.78031E+12,English,The World in the Curl: An Unconventional History of Surfing,0,2,18,41,29,90,https://www.goodreads.com/book/show/16041810-the-world-in-the-curl
841,Cecilia Konchar Farr,3.73,5183,,,9.78079E+12,English,Reading Oprah: How Oprah's Book Club Changed the Way America Reads,1,0,8,8,5,22,https://www.goodreads.com/book/show/5183.Reading_Oprah
842,Jerry Oppenheimer,3.14,16044969,Nonfiction,Biography,9.78031E+12,English,"Crazy Rich: Power, Scandal, and Tragedy Inside the Johnson & Johnson Dynasty",68,176,321,217,112,894,https://www.goodreads.com/book/show/16044969-crazy-rich
843,Sheryl Sandberg,3.95,16071764,Nonfiction,Business,9.78039E+12,English,"Lean In: Women, Work, and the Will to Lead",4330,8385,34151,62757,55491,165114,https://www.goodreads.com/book/show/16071764-lean-in
844,F. Scott Fitzgerald,3.83,46164,Classics,Fiction,9.78068E+12,English,Tender Is the Night,1884,6361,23801,35209,26049,93304,https://www.goodreads.com/book/show/46164.Tender_Is_the_Night
845,Phil Jackson,4.09,16158577,Sports and Games,Nonfiction,9.78159E+12,English,Eleven Rings: The Soul of Success,42,171,1114,2454,2119,5900,https://www.goodreads.com/book/show/16158577-eleven-rings
846,Robert Galbraith,3.84,16160797,Mystery,Fiction,9.78032E+12,English,The Cuckoo's Calling (Cormoran Strike #1),10883,22085,86509,151931,104440,375848,https://www.goodreads.com/book/show/16160797-the-cuckoo-s-calling
847,David   Epstein,4.16,16171221,Sports and Games,Science,9.78159E+12,English,The Sports Gene: Inside the Science of Extraordinary Athletic Performance,86,199,1157,2948,2957,7347,https://www.goodreads.com/book/show/16171221-the-sports-gene
